tokens	target word	tagger tag	human tag	fp/fn
s . Heck yeah , uh , I- it's very well as my aunts and uncles . Cause	well	A	POSTVB	fn
or something that you do very well , we'll be like , nigga I'm tigh	well	A	POSTVB	fn
e music itself is amazing . Mm- Well , my most guess my most memorab	well	A	PREVB	fn
m , but not- not that many . No . Well m- cause my father passed like	well	A	PREVB	fn
mentary school , but I did very well , but I was very bored . Because	well	A	POSTVB	fn
like , Benning Road , and it's a well-known band , people from- it ai	well	A	NPAM	fn
eople . We've got a huge black- Well , had and it's- it's- to some d	well	A	PREVB	fn
. It was just- It was a total- Well , f- A little bit it was a cult	well	A	PREVB	fn
ly think I have a best memory . Well Smart Girls was the program th	well	A	PREVB	fn
beat the game . And was honest . Well only thing wasn't honest was y	well	A	PREVB	fn
u did a good job , you did very well . That was a big moment for me .	well	A	POSTVB	fn
un around back , swing full and wide , then run back down to the poo	wide	A	POSTVB	fn
iven . But , it wasn't used very widely cause it's dangerous . And the	widely	A	POSTVB	fn
gh > Yeah . My business is doing wonderful . Yeah God is blessing that we '	wonderful	A	POSTVB	fn
